#Query	BLAST hit 1
ENSEBLP00005007605.1	CG4119-PB 
ENSEBLP00005013723.1	Septin2-PA 
ENSEBLP00005013731.1	Septin2-PA 
ENSEBLP00005013740.1	CG17026-PA 
ENSEBLP00005013755.1	edin-PA 
ENSEBLP00005013797.1	CG11248-PC 
ENSEBLP00005013807.1	CG11248-PC 
ENSEBLP00005013839.1	zetaTry-PA 
ENSEBLP00005013859.1	CG43980-PC 
ENSEBLP00005013864.1	CG43980-PC 
ENSEBLP00005013895.1	CG10584-PA 
ENSEBLP00005013909.1	zetaTry-PA 
ENSEBLP00005013951.1	l(2)SH0834-PA 
ENSEBLP00005013982.1	CG32447-PB 
ENSEBLP00005013988.1	CG32447-PB 
ENSEBLP00005013997.1	CG32447-PD 
ENSEBLP00005014026.1	CG11307-PD 
ENSEBLP00005014036.1	CG11307-PD 
ENSEBLP00005014074.1	Gyc76C-PD 
ENSEBLP00005014086.1	Gyc76C-PD 
ENSEBLP00005014098.1	Gyc76C-PD 
ENSEBLP00005014108.1	Tgt-PA 
ENSEBLP00005014124.1	Cox11-PA 
ENSEBLP00005014130.1	Cox11-PA 
ENSEBLP00005014143.1	Hip14-PB 
ENSEBLP00005014153.1	Hip14-PB 
ENSEBLP00005014168.1	CG14187-PB 
ENSEBLP00005014176.1	CG1571-PA 
ENSEBLP00005014195.1	CG43980-PB 
ENSEBLP00005014237.1	brm-PE 
ENSEBLP00005014241.1	brm-PB 
ENSEBLP00005014247.1	brm-PD 
ENSEBLP00005014270.1	CG10470-PA 
ENSEBLP00005014306.1	PolD1-PA 
ENSEBLP00005014332.1	CG7322-PC 
ENSEBLP00005014338.1	CG7322-PC 
ENSEBLP00005014371.1	Hsp110-PI 
ENSEBLP00005014377.1	Hsp110-PH 
ENSEBLP00005014384.1	Hsp110-PI 
ENSEBLP00005014406.1	Polr2H-PA 
ENSEBLP00005014430.1	edin-PA 
ENSEBLP00005014444.1	CG6843-PA 
ENSEBLP00005014466.1	S1P-PA 
ENSEBLP00005014503.1	CG10516-PA 
ENSEBLP00005014511.1	CG10516-PA 
ENSEBLP00005014518.1	CG10516-PA 
ENSEBLP00005014658.1	CG11247-PC 
ENSEBLP00005014666.1	CG11247-PC 
ENSEBLP00005014710.1	CG11523-PA 
ENSEBLP00005014730.1	hdm-PA 
ENSEBLP00005014753.1	Trpml-PA 
ENSEBLP00005014755.1	Trpml-PA 
ENSEBLP00005014786.1	CG11249-PA 
ENSEBLP00005014800.1	twy-PA 
ENSEBLP00005014830.1	CG31915-PA 
ENSEBLP00005014850.1	CG17029-PB 
ENSEBLP00005014860.1	CG17029-PB 
ENSEBLP00005014880.1	CG7102-PB 
ENSEBLP00005014911.1	fz2-PH 
ENSEBLP00005014927.1	Taf11-PA 
ENSEBLP00005014951.1	Arl1-PA 
ENSEBLP00005009762.1	CG4404-PA 
ENSEBLP00005009800.1	CG5188-PA 
ENSEBLP00005009821.1	KdelR-PC 
ENSEBLP00005009826.1	KdelR-PC 
ENSEBLP00005009842.1	ana3-PA 
ENSEBLP00005009850.1	ana3-PA 
ENSEBLP00005009867.1	CG13928-PA 
ENSEBLP00005009937.1	pasi1-PB 
ENSEBLP00005009950.1	pasi1-PB 
ENSEBLP00005009957.1	pasi1-PB 
ENSEBLP00005009969.1	und-PC 
ENSEBLP00005009988.1	Ir31a-PC 
ENSEBLP00005010045.1	lft-PB 
ENSEBLP00005010050.1	lft-PB 
ENSEBLP00005010064.1	lft-PB 
ENSEBLP00005010070.1	lft-PB 
ENSEBLP00005010087.1	CG4404-PA 
ENSEBLP00005010094.1	CG3919-PB 
ENSEBLP00005010122.1	Cand1-PB 
ENSEBLP00005010151.1	CG10366-PA 
ENSEBLP00005010156.1	CG10366-PA 
ENSEBLP00005010170.1	pkaap-PA 
ENSEBLP00005010188.1	CG4404-PA 
ENSEBLP00005010199.1	CG4404-PA 
ENSEBLP00005010228.1	ClpP-PB 
ENSEBLP00005010237.1	ClpP-PB 
ENSEBLP00005010247.1	ClpP-PB 
ENSEBLP00005010268.1	RpS27A-PA 
ENSEBLP00005010274.1	RpS27A-PA 
ENSEBLP00005010321.1	CG13196-PA 
ENSEBLP00005010330.1	CG13196-PA 
ENSEBLP00005010339.1	CG13196-PA 
ENSEBLP00005010345.1	CG13196-PA 
ENSEBLP00005010362.1	Ip259-PB 
ENSEBLP00005010401.1	Ir31a-PC 
ENSEBLP00005010413.1	Ir31a-PC 
ENSEBLP00005010457.1	Ddr-PG 
ENSEBLP00005010463.1	Ddr-PG 
ENSEBLP00005010479.1	Ddr-PG 
ENSEBLP00005010486.1	Ddr-PG 
ENSEBLP00005010494.1	Ddr-PG 
ENSEBLP00005010515.1	CG10366-PA 
ENSEBLP00005010533.1	Nf-YB-PB 
ENSEBLP00005010550.1	CG10366-PA 
ENSEBLP00005011516.1	Ddr-PD 
ENSEBLP00005011525.1	smal-PD 
ENSEBLP00005011536.1	Ddr-PD 
ENSEBLP00005011583.1	Indy-PD 
ENSEBLP00005011599.1	Indy-PD 
ENSEBLP00005011606.1	Indy-PD 
ENSEBLP00005011701.1	Ir31a-PC 
ENSEBLP00005011724.1	Bug22-PA 
ENSEBLP00005011769.1	Nckx30C-PD 
ENSEBLP00005011776.1	Nckx30C-PA 
ENSEBLP00005011781.1	Nckx30C-PA 
ENSEBLP00005011789.1	Nckx30C-PD 
ENSEBLP00005011795.1	Nckx30C-PF 
ENSEBLP00005011820.1	CG3597-PA 
ENSEBLP00005011822.1	CG3609-PC 
ENSEBLP00005011884.1	Frmd5-PA 
ENSEBLP00005011897.1	Frmd5-PA 
ENSEBLP00005012812.1	LKRSDH-PB 
ENSEBLP00005012835.1	Pde1c-PE 
ENSEBLP00005012841.1	Pde1c-PE 
ENSEBLP00005012876.1	escl-PC 
ENSEBLP00005012884.1	escl-PC 
ENSEBLP00005012890.1	escl-PC 
ENSEBLP00005012907.1	Pde1c-PD 
ENSEBLP00005012920.1	CycY-PB 
ENSEBLP00005012939.1	CG34116-PA 
ENSEBLP00005013010.1	CG11815-PA 
ENSEBLP00005013018.1	CG11815-PA 
ENSEBLP00005013029.1	Arc2-PA 
ENSEBLP00005013065.1	Herp-PC 
ENSEBLP00005013130.1	Mal-B2-PF 
ENSEBLP00005013137.1	Mal-B2-PF 
ENSEBLP00005013187.1	CG7149-PB 
ENSEBLP00005013194.1	CG7149-PC 
ENSEBLP00005013201.1	CG7149-PC 
ENSEBLP00005013267.1	Arts-PC 
ENSEBLP00005013268.1	Nup214-PA 
ENSEBLP00005013279.1	Nup214-PA 
ENSEBLP00005013351.1	CG17681-PA 
ENSEBLP00005013362.1	CG12560-PB 
ENSEBLP00005013410.1	Pde1c-PJ 
ENSEBLP00005013417.1	Pde1c-PK 
ENSEBLP00005013426.1	Pde1c-PK 
ENSEBLP00005013432.1	Pde1c-PJ 
ENSEBLP00005013438.1	Pde1c-PJ 
ENSEBLP00005013445.1	Pde1c-PJ 
ENSEBLP00005013473.1	stil-PA 
ENSEBLP00005013481.1	stil-PA 
ENSEBLP00005013497.1	CG32354-PA 
ENSEBLP00005013519.1	Pde1c-PC 
ENSEBLP00005013529.1	Pde1c-PC 
ENSEBLP00005013538.1	Pde1c-PC 
ENSEBLP00005013548.1	CG4004-PF 
ENSEBLP00005013567.1	Cpr64Ad-PB 
ENSEBLP00005020805.1	CG32548-PB 
ENSEBLP00005020824.1	psh-PA 
ENSEBLP00005020831.1	psh-PA 
ENSEBLP00005020852.1	CG4766-PA 
ENSEBLP00005020863.1	CG4766-PA 
ENSEBLP00005020890.1	Tsf1-PC 
ENSEBLP00005020897.1	Tsf1-PC 
ENSEBLP00005021798.1	Hayan-PA 
ENSEBLP00005021807.1	Hayan-PA 
ENSEBLP00005021816.1	Hayan-PA 
ENSEBLP00005021835.1	CG42323-PC 
ENSEBLP00005021843.1	CG42323-PC 
ENSEBLP00005021851.1	CG42323-PC 
ENSEBLP00005021901.1	Pdcd4-PD 
ENSEBLP00005021911.1	Pdcd4-PD 
ENSEBLP00005021971.1	cer-PA 
ENSEBLP00005021999.1	CG5966-PA 
ENSEBLP00005022045.1	Ir92a-PC 
ENSEBLP00005022053.1	Ir92a-PC 
ENSEBLP00005022136.1	Nt5b-PH 
ENSEBLP00005022143.1	Nt5b-PE 
ENSEBLP00005022155.1	Nt5b-PE 
ENSEBLP00005022159.1	Nt5b-PH 
ENSEBLP00005022165.1	Nt5b-PH 
ENSEBLP00005022175.1	Nt5b-PE 
ENSEBLP00005022269.1	MED20-PA 
ENSEBLP00005022295.1	mab-21-PA 
ENSEBLP00005022310.1	CG32547-PD 
ENSEBLP00005022320.1	CG32547-PD 
ENSEBLP00005022355.1	Hayan-PA 
ENSEBLP00005022373.1	Hayan-PA 
ENSEBLP00005022396.1	CG2681-PA 
ENSEBLP00005022400.1	CG2681-PA 
ENSEBLP00005022408.1	Hayan-PA 
ENSEBLP00005022441.1	Ir92a-PC 
ENSEBLP00005022453.1	Ir92a-PC 
ENSEBLP00005022463.1	Ir92a-PC 
ENSEBLP00005022490.1	Grip-PC 
ENSEBLP00005022495.1	Grip-PC 
ENSEBLP00005022506.1	eIF2Bbeta-PA 
ENSEBLP00005022577.1	Adar-PO 
ENSEBLP00005022582.1	Adar-PH 
ENSEBLP00005022588.1	Adar-PC 
ENSEBLP00005022594.1	Adar-PI 
ENSEBLP00005022601.1	Adar-PN 
ENSEBLP00005022613.1	Adar-PN 
ENSEBLP00005022648.1	Hayan-PA 
ENSEBLP00005022654.1	Hayan-PA 
ENSEBLP00005022659.1	Hayan-PA 
ENSEBLP00005022664.1	Hayan-PA 
ENSEBLP00005004792.1	CG42724-PI 
ENSEBLP00005004893.1	Datp-PA 
ENSEBLP00005004992.1	CG7692-PD 
ENSEBLP00005005000.1	CG7692-PA 
ENSEBLP00005005007.1	CG7692-PC 
ENSEBLP00005005015.1	CG7692-PC 
ENSEBLP00005005079.1	CG43867-PA 
ENSEBLP00005005091.1	CG43867-PA 
ENSEBLP00005005096.1	CG43867-PA 
ENSEBLP00005005098.1	CG43867-PA 
ENSEBLP00005005164.1	CG4332-PA 
ENSEBLP00005005181.1	CG4332-PA 
ENSEBLP00005005192.1	CG4332-PA 
ENSEBLP00005005521.1	CG43867-PA 
ENSEBLP00005005529.1	CG43867-PK 
ENSEBLP00005005543.1	CG43867-PJ 
ENSEBLP00005005549.1	CG43867-PA 
ENSEBLP00005005705.1	SdicB-PA 
ENSEBLP00005006102.1	CG7362-PB 
ENSEBLP00005011372.1	Acf-PA 
ENSEBLP00005011390.1	alpha-Man-Ib-PA 
ENSEBLP00005011408.1	CG3663-PA 
ENSEBLP00005011411.1	CG3663-PA 
ENSEBLP00005011439.1	Bicra-PB 
ENSEBLP00005011447.1	Bicra-PD 
ENSEBLP00005011451.1	Orct-PB 
ENSEBLP00005011472.1	Rift-PA 
ENSEBLP00005011481.1	vret-PA 
ENSEBLP00005011486.1	vret-PA 
ENSEBLP00005011492.1	vret-PA 
ENSEBLP00005011496.1	vret-PA 
ENSEBLP00005011500.1	vret-PA 
ENSEBLP00005011504.1	vret-PA 
ENSEBLP00005011515.1	vret-PA 
ENSEBLP00005011527.1	CG31068-PB 
ENSEBLP00005011535.1	CG31068-PB 
ENSEBLP00005011551.1	Ilp1-PA 
ENSEBLP00005011555.1	Ilp1-PA 
ENSEBLP00005011561.1	Rift-PA 
ENSEBLP00005011566.1	Rift-PA 
ENSEBLP00005011570.1	Rift-PA 
ENSEBLP00005011574.1	Rift-PA 
ENSEBLP00005011580.1	Rift-PA 
ENSEBLP00005011584.1	shps-PA 
ENSEBLP00005011593.1	shps-PA 
ENSEBLP00005011598.1	shps-PA 
ENSEBLP00005011605.1	shps-PA 
ENSEBLP00005011615.1	CG6356-PA 
ENSEBLP00005011622.1	CG6356-PA 
ENSEBLP00005011627.1	CG6356-PA 
ENSEBLP00005011642.1	stg-PB 
ENSEBLP00005011647.1	sba-PF 
ENSEBLP00005011654.1	sba-PI 
ENSEBLP00005011658.1	sba-PE 
ENSEBLP00005011664.1	sba-PE 
ENSEBLP00005011670.1	sba-PE 
ENSEBLP00005011691.1	CG34290-PB 
ENSEBLP00005011694.1	CG34290-PB 
ENSEBLP00005011713.1	CG42233-PB 
ENSEBLP00005011743.1	CG2217-PD 
ENSEBLP00005011764.1	Zip99C-PJ 
ENSEBLP00005011838.1	CG31064-PF 
ENSEBLP00005011846.1	CG31064-PG 
ENSEBLP00005011854.1	CG31064-PG 
ENSEBLP00005011863.1	CG31064-PB 
ENSEBLP00005011930.1	CG17032-PB 
ENSEBLP00005011986.1	FeCH-PA 
ENSEBLP00005011994.1	FeCH-PA 
ENSEBLP00005012000.1	FeCH-PB 
ENSEBLP00005012005.1	FeCH-PA 
ENSEBLP00005012007.1	FeCH-PA 
ENSEBLP00005012121.1	Rift-PA 
ENSEBLP00005012128.1	Rift-PA 
ENSEBLP00005012134.1	Rift-PA 
ENSEBLP00005012137.1	Rift-PA 
ENSEBLP00005012144.1	Rift-PA 
ENSEBLP00005012153.1	Rift-PA 
ENSEBLP00005012157.1	Rift-PA 
ENSEBLP00005012016.1	AgmNAT-PA 
ENSEBLP00005012019.1	AgmNAT-PA 
ENSEBLP00005012044.1	Sox100B-PA 
ENSEBLP00005012049.1	Sox100B-PA 
ENSEBLP00005012053.1	Sox100B-PA 
ENSEBLP00005012073.1	CG13840-PC 
ENSEBLP00005012146.1	CycC-PA 
ENSEBLP00005012155.1	CycC-PA 
ENSEBLP00005012198.1	beat-Vc-PB 
ENSEBLP00005012205.1	beat-Vc-PB 
ENSEBLP00005012238.1	mh-PA 
ENSEBLP00005012242.1	mh-PA 
ENSEBLP00005012253.1	mh-PA 
ENSEBLP00005012272.1	TwdlP-PA 
ENSEBLP00005012296.1	CG11317-PB 
ENSEBLP00005012298.1	CG11317-PB 
ENSEBLP00005012350.1	UQCR-C1-PB 
ENSEBLP00005012362.1	CG11318-PA 
ENSEBLP00005012389.1	Cyp28d1-PA 
ENSEBLP00005012394.1	Cyp28d1-PA 
ENSEBLP00005012411.1	beat-Va-PC 
ENSEBLP00005012433.1	CG4004-PF 
ENSEBLP00005012447.1	Gr93a-PA 
ENSEBLP00005012460.1	CG8910-PA 
ENSEBLP00005012523.1	dco-PE 
ENSEBLP00005012531.1	dco-PE 
ENSEBLP00005012533.1	dco-PE 
ENSEBLP00005012544.1	Gr93a-PA 
ENSEBLP00005012562.1	Dph2-PA 
ENSEBLP00005012572.1	Dph2-PA 
ENSEBLP00005012588.1	CG10126-PB 
ENSEBLP00005012597.1	CG10126-PA 
ENSEBLP00005012620.1	Polr1E-PA 
ENSEBLP00005012628.1	Polr1E-PA 
ENSEBLP00005012647.1	CG33340-PA 
ENSEBLP00005012666.1	tex-PA 
ENSEBLP00005012739.1	CG7126-PB 
ENSEBLP00005012822.1	CG3841-PB 
ENSEBLP00005007567.1	Optix-PA 
ENSEBLP00005007573.1	Optix-PC 
ENSEBLP00005007594.1	CG10949-PB 
ENSEBLP00005007606.1	Ric-PB 
ENSEBLP00005007610.1	Ric-PB 
ENSEBLP00005007625.1	St3-PC 
ENSEBLP00005007640.1	Sox15-PA 
ENSEBLP00005007655.1	Pal2-PE 
ENSEBLP00005007680.1	CG12769-PC 
ENSEBLP00005007686.1	CG12769-PC 
ENSEBLP00005007695.1	CG12769-PC 
ENSEBLP00005007705.1	CG14762-PB 
ENSEBLP00005007730.1	Pbp49-PB 
ENSEBLP00005007753.1	VGAT-PA 
ENSEBLP00005007775.1	CG30428-PA 
ENSEBLP00005007785.1	CG30428-PA 
ENSEBLP00005007799.1	mRpS17-PA 
ENSEBLP00005007813.1	CG43088-PA 
ENSEBLP00005007827.1	l(2)efl-PC 
ENSEBLP00005007834.1	l(2)efl-PC 
ENSEBLP00005007862.1	CG43088-PA 
ENSEBLP00005007879.1	spag-PA 
ENSEBLP00005007889.1	spag-PA 
ENSEBLP00005007998.1	Dg-PD 
ENSEBLP00005008001.1	Dg-PC 
ENSEBLP00005008012.1	Dg-PC 
ENSEBLP00005008021.1	Dg-PD 
ENSEBLP00005008030.1	Dg-PB 
ENSEBLP00005008049.1	CG8414-PA 
ENSEBLP00005008080.1	Sdb-PA 
ENSEBLP00005008105.1	pps-PA 
ENSEBLP00005008205.1	Rho1-PA 
ENSEBLP00005008210.1	Rho1-PA 
ENSEBLP00005008216.1	Rho1-PA 
ENSEBLP00005008220.1	Rho1-PA 
ENSEBLP00005008224.1	Rho1-PA 
ENSEBLP00005008261.1	Ada-PA 
ENSEBLP00005008267.1	Ada-PA 
ENSEBLP00005008272.1	Ada-PA 
ENSEBLP00005008330.1	Pde8-PD 
ENSEBLP00005008343.1	Pde8-PK 
ENSEBLP00005008358.1	Pde8-PK 
ENSEBLP00005008369.1	Pde8-PD 
ENSEBLP00005008377.1	Pde8-PD 
ENSEBLP00005008403.1	Pabp2-PB 
ENSEBLP00005008410.1	Pabp2-PB 
ENSEBLP00005008423.1	Gnf1-PA 
ENSEBLP00005008461.1	St1-PB 
ENSEBLP00005008518.1	retn-PD 
ENSEBLP00005008528.1	retn-PA 
ENSEBLP00005008535.1	retn-PA 
ENSEBLP00005008548.1	retn-PA 
ENSEBLP00005008555.1	retn-PA 
ENSEBLP00005008587.1	cg-PM 
ENSEBLP00005008595.1	cg-PJ 
ENSEBLP00005008612.1	CG42516-PC 
ENSEBLP00005008645.1	CG30183-PC 
ENSEBLP00005008651.1	CG30183-PC 
ENSEBLP00005008657.1	CG30183-PC 
ENSEBLP00005008662.1	CG30183-PC 
ENSEBLP00005004144.1	CG32121-PB 
ENSEBLP00005004148.1	CG32121-PB 
ENSEBLP00005004154.1	CG32121-PB 
ENSEBLP00005004159.1	CG32121-PB 
ENSEBLP00005004183.1	CG6179-PA 
ENSEBLP00005004256.1	siz-PD 
ENSEBLP00005004260.1	siz-PD 
ENSEBLP00005004269.1	siz-PA 
ENSEBLP00005004275.1	siz-PA 
ENSEBLP00005004280.1	siz-PA 
ENSEBLP00005004287.1	siz-PD 
ENSEBLP00005004292.1	siz-PC 
ENSEBLP00005004323.1	flr-PA 
ENSEBLP00005004333.1	flr-PA 
ENSEBLP00005004343.1	dgrn-PD 
ENSEBLP00005004369.1	CG6726-PC 
ENSEBLP00005004402.1	CG10222-PB 
ENSEBLP00005004460.1	CG6465-PA 
ENSEBLP00005004494.1	CG6465-PA 
ENSEBLP00005004533.1	Nubp2-PA 
ENSEBLP00005004545.1	Nubp2-PA 
ENSEBLP00005004571.1	dgrn-PD 
ENSEBLP00005004615.1	CG6726-PC 
ENSEBLP00005004623.1	CG6726-PC 
ENSEBLP00005004639.1	CG10948-PD 
ENSEBLP00005004668.1	CG32196-PB 
ENSEBLP00005004675.1	CG32196-PB 
ENSEBLP00005004680.1	CG32196-PB 
ENSEBLP00005004725.1	CG12316-PA 
ENSEBLP00005004733.1	CG12316-PA 
ENSEBLP00005004746.1	CG12316-PA 
ENSEBLP00005004754.1	CG12316-PA 
ENSEBLP00005004769.1	toe-PA 
ENSEBLP00005004833.1	siz-PB 
ENSEBLP00005004840.1	siz-PB 
ENSEBLP00005004844.1	siz-PB 
ENSEBLP00005004850.1	siz-PB 
ENSEBLP00005027319.1	rdgC-PI 
ENSEBLP00005027448.1	ZnT77C-PB 
ENSEBLP00005027453.1	ZnT77C-PB 
ENSEBLP00005027471.1	dlp-PC 
ENSEBLP00005027503.1	DCX-EMAP-PF 
ENSEBLP00005027511.1	DCX-EMAP-PF 
ENSEBLP00005027517.1	DCX-EMAP-PG 
ENSEBLP00005027536.1	mRpL21-PB 
ENSEBLP00005027539.1	mRpL21-PB 
ENSEBLP00005027552.1	CG14142-PB 
ENSEBLP00005027577.1	EMC8-9-PA 
ENSEBLP00005027595.1	Sdic1-PC 
ENSEBLP00005027600.1	SdicB-PA 
ENSEBLP00005027628.1	mRpL2-PA 
ENSEBLP00005027639.1	mRpL2-PA 
ENSEBLP00005027667.1	Cndp2-PA 
ENSEBLP00005027676.1	Cndp2-PA 
ENSEBLP00005027714.1	ORMDL-PA 
ENSEBLP00005027723.1	ORMDL-PA 
ENSEBLP00005027737.1	CG8004-PA 
ENSEBLP00005027782.1	Glg1-PB 
ENSEBLP00005027823.1	dysc-PE 
ENSEBLP00005027834.1	dysc-PH 
ENSEBLP00005027845.1	dysc-PH 
ENSEBLP00005027856.1	dysc-PI 
ENSEBLP00005027863.1	dysc-PE 
ENSEBLP00005027899.1	Sdic2-PC 
ENSEBLP00005027918.1	Gbeta76C-PA 
ENSEBLP00005027958.1	CG5618-PA 
ENSEBLP00005027966.1	CG5618-PA 
ENSEBLP00005027972.1	CG5618-PA 
ENSEBLP00005027993.1	CG9368-PA 
ENSEBLP00005027999.1	CG9368-PA 
ENSEBLP00005028016.1	Su(z)12-PB 
ENSEBLP00005028022.1	Su(z)12-PB 
ENSEBLP00005028033.1	asrij-PB 
ENSEBLP00005028054.1	Rgl-PE 
ENSEBLP00005028058.1	Rgl-PA 
ENSEBLP00005028102.1	CG17839-PB 
ENSEBLP00005028111.1	CG17839-PB 
ENSEBLP00005028123.1	CG17839-PB 
ENSEBLP00005028132.1	CG17839-PB 
ENSEBLP00005028142.1	CG17839-PB 
ENSEBLP00005028183.1	not-PD 
ENSEBLP00005028233.1	emei-PA 
ENSEBLP00005028243.1	emei-PA 
ENSEBLP00005028262.1	CG17364-PF 
ENSEBLP00005028265.1	CG17364-PF 
ENSEBLP00005028294.1	Pop2-PE 
ENSEBLP00005028301.1	Pop2-PG 
ENSEBLP00005028315.1	CG5969-PA 
ENSEBLP00005028318.1	CG5969-PA 
ENSEBLP00005028345.1	Uggt-PA 
ENSEBLP00005028354.1	Uggt-PA 
ENSEBLP00005028406.1	CG9330-PA 
ENSEBLP00005028414.1	CG9330-PA 
ENSEBLP00005028463.1	Ac76E-PA 
ENSEBLP00005028471.1	Ac76E-PB 
ENSEBLP00005028480.1	Ac76E-PA 
ENSEBLP00005028488.1	Ac76E-PA 
ENSEBLP00005028500.1	Ac76E-PA 
ENSEBLP00005028507.1	Ac76E-PA 
ENSEBLP00005028530.1	nkt-PA 
ENSEBLP00005028539.1	nkt-PA 
ENSEBLP00005028547.1	Sod1-PA 
ENSEBLP00005028565.1	udd-PA 
ENSEBLP00005028569.1	udd-PA 
ENSEBLP00005028586.1	Alg10-PA 
ENSEBLP00005028612.1	ash1-PC 
ENSEBLP00005028621.1	Set2-PA 
ENSEBLP00005028634.1	Set2-PA 
ENSEBLP00005028659.1	Csp-PA 
ENSEBLP00005028665.1	Csp-PF 
ENSEBLP00005028674.1	Csp-PC 
ENSEBLP00005028691.1	Taf6-PA 
ENSEBLP00005028722.1	Poc1-PB 
ENSEBLP00005028729.1	Poc1-PA 
ENSEBLP00005028735.1	Poc1-PA 
ENSEBLP00005028750.1	rdgC-PH 
ENSEBLP00005028793.1	Srpk79D-PO 
ENSEBLP00005028804.1	Srpk79D-PF 
ENSEBLP00005028815.1	Srpk79D-PJ 
ENSEBLP00005028828.1	Syn1-PD 
ENSEBLP00005028854.1	CG17233-PC 
ENSEBLP00005028867.1	CG17233-PG 
ENSEBLP00005028874.1	CG17233-PC 
ENSEBLP00005028898.1	Hsc70-1-PA 
ENSEBLP00005028904.1	Hsc70-1-PA 
ENSEBLP00005028908.1	Hem-PA 
ENSEBLP00005028931.1	CG11267-PA 
ENSEBLP00005028939.1	CG11267-PA 
ENSEBLP00005028960.1	nebu-PB 
ENSEBLP00005028970.1	nebu-PB 
ENSEBLP00005028975.1	nebu-PB 
ENSEBLP00005028988.1	Clc-PD 
ENSEBLP00005029005.1	CG32425-PC 
ENSEBLP00005029032.1	RecQ5-PB 
ENSEBLP00005029055.1	bora-PA 
ENSEBLP00005029059.1	bora-PA 
ENSEBLP00005029074.1	dlp-PC 
ENSEBLP00005029099.1	Est-Q-PA 
ENSEBLP00005029107.1	Est-Q-PA 
ENSEBLP00005029128.1	NHP2-PB 
ENSEBLP00005029133.1	NHP2-PB 
ENSEBLP00005029150.1	Icmt-PB 
ENSEBLP00005029159.1	Icmt-PB 
ENSEBLP00005029178.1	CG3430-PA 
ENSEBLP00005029182.1	CG3430-PA 
ENSEBLP00005029207.1	Sema5c-PB 
ENSEBLP00005029212.1	Sema5c-PB 
ENSEBLP00005029226.1	CG7394-PC 
ENSEBLP00005029259.1	ND-39-PB 
ENSEBLP00005029263.1	ND-39-PB 
ENSEBLP00005029283.1	NaPi-III-PB 
ENSEBLP00005029289.1	NaPi-III-PB 
ENSEBLP00005029298.1	Ccdc114-PA 
ENSEBLP00005029308.1	CG14567-PA 
ENSEBLP00005029321.1	CG43088-PA 
ENSEBLP00005029332.1	RpS3A-PF 
ENSEBLP00005029337.1	RpS3A-PF 
ENSEBLP00005029350.1	Ufd1-PA 
ENSEBLP00005029354.1	Ufd1-PA 
ENSEBLP00005029360.1	Ufd1-PA 
ENSEBLP00005029377.1	CG8833-PA 
ENSEBLP00005029413.1	sens-PA 
ENSEBLP00005029425.1	CG9372-PA 
ENSEBLP00005029429.1	CG9372-PA 
ENSEBLP00005029451.1	pns-PA 
ENSEBLP00005029460.1	pns-PA 
ENSEBLP00005029467.1	SdicB-PA 
ENSEBLP00005029483.1	CG6951-PA 
ENSEBLP00005029496.1	CG7607-PA 
ENSEBLP00005029519.1	DCTN1-p150-PA 
ENSEBLP00005029523.1	DCTN1-p150-PA 
ENSEBLP00005029526.1	DCTN1-p150-PA 
ENSEBLP00005029542.1	Lon-PC 
ENSEBLP00005029546.1	Lon-PC 
ENSEBLP00005029571.1	Plod-PB 
ENSEBLP00005029577.1	Plod-PB 
ENSEBLP00005029610.1	lush-PB 
ENSEBLP00005029615.1	lush-PB 
ENSEBLP00005029624.1	lush-PB 
ENSEBLP00005029642.1	CG14105-PA 
ENSEBLP00005029646.1	CG14105-PA 
ENSEBLP00005029658.1	CG30383-PA 
ENSEBLP00005029665.1	CG30383-PA 
ENSEBLP00005029683.1	GlcAT-P-PD 
ENSEBLP00005029689.1	GlcAT-P-PD 
ENSEBLP00005029694.1	GlcAT-P-PE 
ENSEBLP00005029699.1	GlcAT-P-PD 
ENSEBLP00005029711.1	SdicB-PA 
ENSEBLP00005029725.1	CG6340-PB 
ENSEBLP00005029728.1	CG6340-PB 
ENSEBLP00005029734.1	CG6340-PB 
ENSEBLP00005029766.1	rols-PI 
ENSEBLP00005029771.1	rols-PH 
ENSEBLP00005029776.1	rols-PH 
ENSEBLP00005029780.1	rols-PH 
ENSEBLP00005029785.1	rols-PB 
ENSEBLP00005029788.1	rols-PI 
ENSEBLP00005029795.1	mRpL20-PA 
ENSEBLP00005029814.1	CG6701-PD 
ENSEBLP00005029823.1	CG6701-PD 
ENSEBLP00005029846.1	Eato-PB 
ENSEBLP00005029856.1	CG5397-PB 
ENSEBLP00005029880.1	IRSp53-PA 
ENSEBLP00005029885.1	IRSp53-PA 
ENSEBLP00005029891.1	IRSp53-PE 
ENSEBLP00005029895.1	IRSp53-PE 
ENSEBLP00005029898.1	IRSp53-PB 
ENSEBLP00005029903.1	IRSp53-PA 
ENSEBLP00005029912.1	CG32137-PB 
ENSEBLP00005029917.1	CG32137-PB 
ENSEBLP00005004519.1	Pngl-PC 
ENSEBLP00005004528.1	Pngl-PC 
ENSEBLP00005004538.1	Pngl-PC 
ENSEBLP00005004548.1	Pngl-PC 
ENSEBLP00005004562.1	Mccc2-PA 
ENSEBLP00005004601.1	CG5174-PB 
ENSEBLP00005004608.1	CG5174-PB 
ENSEBLP00005004613.1	CG5174-PA 
ENSEBLP00005004655.1	Sin3A-PG 
ENSEBLP00005004662.1	Sin3A-PG 
ENSEBLP00005004667.1	Sin3A-PG 
ENSEBLP00005004712.1	CG3420-PB 
ENSEBLP00005004719.1	CG3420-PB 
