#Query	BLAST hit 1
ENSEBLP00000002056.1	 RpL7-like-PC 
ENSEBLP00000024335.1	 Ogdh-PF 
ENSEBLP00000024367.1	 Ir67c-PA 
ENSEBLP00000024369.1	 CG42699-PC 
ENSEBLP00000024370.1	 Gbs-76A-PD 
ENSEBLP00000024378.1	 CG42699-PC 
ENSEBLP00000024380.1	 Gbs-76A-PD 
ENSEBLP00000024388.1	 Gbs-76A-PD 
ENSEBLP00000024393.1	 CG42699-PC 
ENSEBLP00000024407.1	 CG42699-PC 
ENSEBLP00000024437.1	 Abca3-PD 
ENSEBLP00000024449.1	 Abca3-PD 
ENSEBLP00000024458.1	 Cubn2-PB 
ENSEBLP00000024462.1	 Abca3-PD 
ENSEBLP00000024480.1	 Cubn2-PB 
ENSEBLP00000024505.1	 stg1-PC 
ENSEBLP00000024508.1	 Ldh-PD 
ENSEBLP00000024515.1	 stg1-PC 
ENSEBLP00000024527.1	 stg1-PC 
ENSEBLP00000024539.1	 CG34459-PC 
ENSEBLP00000024546.1	 CG34459-PC 
ENSEBLP00000024554.1	 CG34459-PC 
ENSEBLP00000024567.1	 tay-PA 
ENSEBLP00000024580.1	 tay-PD 
ENSEBLP00000024588.1	 CG1636-PC 
ENSEBLP00000024589.1	 tay-PD 
ENSEBLP00000024593.1	 tay-PD 
ENSEBLP00000024594.1	 CG1636-PC 
ENSEBLP00000024602.1	 CG1636-PC 
ENSEBLP00000024610.1	 CG18598-PA 
ENSEBLP00000024628.1	 Mal-A2-PA 
ENSEBLP00000024651.1	 Dus2-PB 
ENSEBLP00000024657.1	 Dus2-PB 
ENSEBLP00000024660.1	 CNMaR-PA 
ENSEBLP00000024669.1	 Dus2-PB 
ENSEBLP00000024671.1	 CNMaR-PA 
ENSEBLP00000024681.1	 CNMaR-PA 
ENSEBLP00000024710.1	 l(3)72Dp-PA 
ENSEBLP00000024718.1	 l(3)72Dp-PA 
ENSEBLP00000024723.1	 Pdp1-PK 
ENSEBLP00000024732.1	 Pdp1-PO 
ENSEBLP00000024733.1	 l(3)72Dp-PA 
ENSEBLP00000024741.1	 Pdp1-PK 
ENSEBLP00000024749.1	 kek4-PC 
ENSEBLP00000024752.1	 Gbeta13F-PH 
ENSEBLP00000024769.1	 CG34132-PA 
ENSEBLP00000024771.1	 sloth1-PB 
ENSEBLP00000024791.1	 CG12024-PA 
ENSEBLP00000024801.1	 CG12024-PA 
ENSEBLP00000024817.1	 p130CAS-PD 
ENSEBLP00000024828.1	 p130CAS-PG 
ENSEBLP00000024833.1	 p130CAS-PD 
ENSEBLP00000024834.1	 Surf4-PA 
ENSEBLP00000024844.1	 Surf4-PA 
ENSEBLP00000024850.1	 wuho-PA 
ENSEBLP00000024863.1	 Ir11a-PB 
ENSEBLP00000024885.1	 RhoGAP19D-PC 
ENSEBLP00000024889.1	  
ENSEBLP00000024897.1	 RhoGAP19D-PC 
ENSEBLP00000024911.1	 RhoGAP19D-PD 
ENSEBLP00000024934.1	 CG6652-PA 
ENSEBLP00000024953.1	 CG33523-PD 
ENSEBLP00000024957.1	 CG33523-PC 
ENSEBLP00000024965.1	 nod-PB 
ENSEBLP00000024968.1	 CG33523-PC 
ENSEBLP00000024975.1	 CG33523-PC 
ENSEBLP00000024984.1	 CG33523-PA 
ENSEBLP00000024987.1	  
ENSEBLP00000024996.1	 CG33523-PE 
ENSEBLP00000025003.1	 CG33523-PD 
ENSEBLP00000025013.1	 Lcp65Ad-PB 
ENSEBLP00000025029.1	 Cyp28d1-PA 
ENSEBLP00000025046.1	 msk-PA 
ENSEBLP00000025047.1	  
ENSEBLP00000025062.1	 msk-PA 
ENSEBLP00000025069.1	 lin-28-PA 
ENSEBLP00000025090.1	 ais-PA 
ENSEBLP00000025091.1	 cmet-PE 
ENSEBLP00000025119.1	 CG14321-PA 
ENSEBLP00000025132.1	 CG14321-PA 
ENSEBLP00000025157.1	 Adar-PM 
ENSEBLP00000025163.1	 dor-PA 
ENSEBLP00000025170.1	 Adar-PN 
ENSEBLP00000025174.1	 dor-PA 
ENSEBLP00000025182.1	 Adar-PH 
ENSEBLP00000025183.1	 dor-PA 
ENSEBLP00000025191.1	 Adar-PO 
ENSEBLP00000025205.1	  
ENSEBLP00000025204.1	 Adar-PI 
ENSEBLP00000025216.1	 Adar-PN 
ENSEBLP00000025235.1	 Adar-PN 
ENSEBLP00000025239.1	 Gabat-PD 
ENSEBLP00000025254.1	 Gabat-PD 
ENSEBLP00000025257.1	 CG15221-PB 
ENSEBLP00000025276.1	 Gem4b-PB 
ENSEBLP00000025286.1	 Txl-PA 
ENSEBLP00000025293.1	  
ENSEBLP00000025303.1	 Txl-PA 
ENSEBLP00000025317.1	 retinin-PA 
ENSEBLP00000025326.1	 HERC2-PC 
ENSEBLP00000025343.1	 HERC2-PC 
ENSEBLP00000025360.1	 Ir67c-PA 
ENSEBLP00000025389.1	  
ENSEBLP00000025400.1	 Pdk1-PF 
ENSEBLP00000025406.1	 Pdk1-PJ 
ENSEBLP00000025449.1	 mgl-PE 
ENSEBLP00000025459.1	 LRP1-PG 
ENSEBLP00000025468.1	 LRP1-PG 
ENSEBLP00000025501.1	 mas-PB 
ENSEBLP00000025540.1	  
ENSEBLP00000025546.1	  
ENSEBLP00000025552.1	 CG10631-PA 
ENSEBLP00000025566.1	  
ENSEBLP00000025588.1	 Ir68b-PA 
ENSEBLP00000025601.1	 Ir68b-PA 
ENSEBLP00000025627.1	 Pfdn2-PB 
ENSEBLP00000025655.1	 CG33158-PB 
ENSEBLP00000025666.1	 CG33158-PB 
ENSEBLP00000025676.1	 CG33158-PB 
ENSEBLP00000025687.1	 CG33158-PB 
ENSEBLP00000025705.1	 CG11436-PA 
ENSEBLP00000025731.1	 CG13004-PB 
ENSEBLP00000025758.1	 Fdx1-PB 
ENSEBLP00000025780.1	  
ENSEBLP00000025797.1	 disco-PB 
ENSEBLP00000025817.1	 Corp-PB 
ENSEBLP00000025831.1	 Corp-PB 
ENSEBLP00000025857.1	 Lztr1-PE 
ENSEBLP00000025865.1	 Lztr1-PE 
ENSEBLP00000025892.1	 Cpr73D-PC 
ENSEBLP00000025898.1	 Cpr73D-PB 
ENSEBLP00000025923.1	 CG32037-PB 
ENSEBLP00000025955.1	 p115-PB 
ENSEBLP00000025967.1	 p115-PB 
ENSEBLP00000025977.1	  
ENSEBLP00000026000.1	 CG17450-PB 
ENSEBLP00000026074.1	 TrpA1-PJ 
ENSEBLP00000026089.1	 TrpA1-PK 
ENSEBLP00000026102.1	 TrpA1-PK 
ENSEBLP00000026116.1	 TrpA1-PI 
ENSEBLP00000026129.1	 TrpA1-PG 
ENSEBLP00000026145.1	 TrpA1-PJ 
ENSEBLP00000026154.1	 TrpA1-PI 
ENSEBLP00000026235.1	 trol-PBC 
ENSEBLP00000026279.1	 CG32809-PM 
ENSEBLP00000026311.1	 Sdic1-PC 
ENSEBLP00000026328.1	  
ENSEBLP00000026374.1	 Rph-PD 
ENSEBLP00000026384.1	 Rph-PA 
ENSEBLP00000026393.1	 Rph-PA 
ENSEBLP00000026398.1	 Rph-PA 
ENSEBLP00000026410.1	 Rph-PA 
ENSEBLP00000026430.1	 CG42324-PF 
ENSEBLP00000026442.1	 CG14207-PD 
ENSEBLP00000026451.1	 CG14207-PD 
ENSEBLP00000026465.1	 CG14207-PD 
ENSEBLP00000026466.1	 wap-PD 
ENSEBLP00000026475.1	 wap-PD 
ENSEBLP00000026486.1	 Coa7-PC 
ENSEBLP00000026491.1	  
ENSEBLP00000026497.1	 Coa7-PC 
ENSEBLP00000026521.1	 orb2-PB 
ENSEBLP00000026527.1	 Vago-PD 
ENSEBLP00000026530.1	 orb2-PB 
ENSEBLP00000026535.1	 Vago-PD 
ENSEBLP00000026560.1	  
ENSEBLP00000026567.1	 CG33178-PB 
ENSEBLP00000026566.1	  
ENSEBLP00000026582.1	 CG33178-PC 
ENSEBLP00000026590.1	 Rab26-PE 
ENSEBLP00000026598.1	 m-PA 
ENSEBLP00000026611.1	 Sf3b1-PB 
ENSEBLP00000026633.1	 Fur2-PC 
ENSEBLP00000026637.1	 CG43737-PC 
ENSEBLP00000026653.1	 Fur2-PF 
ENSEBLP00000026668.1	  
ENSEBLP00000026675.1	  
ENSEBLP00000026678.1	 Syp-PH 
ENSEBLP00000026701.1	 CG15642-PB 
ENSEBLP00000026706.1	 CG14435-PC 
ENSEBLP00000026719.1	 CG14435-PC 
ENSEBLP00000026734.1	 Or63a-PA 
ENSEBLP00000026789.1	 Tmep-PB 
ENSEBLP00000026794.1	 Tmep-PD 
ENSEBLP00000026804.1	 Tmep-PB 
ENSEBLP00000026808.1	 Tmep-PD 
ENSEBLP00000026817.1	 Tmep-PD 
ENSEBLP00000026839.1	 Su(P)-PA 
ENSEBLP00000026867.1	 Ugt35B1-PA 
ENSEBLP00000026893.1	 Ac78C-PE 
ENSEBLP00000026912.1	  
ENSEBLP00000026933.1	 Cdc45-PA 
ENSEBLP00000026963.1	 klar-PD 
ENSEBLP00000026986.1	 CG10962-PB 
ENSEBLP00000027001.1	  
ENSEBLP00000027019.1	 CG32260-PA 
ENSEBLP00000027038.1	 CG14073-PC 
ENSEBLP00000027058.1	 Snmp2-PD 
ENSEBLP00000027072.1	 Antdh-PA 
ENSEBLP00000027090.1	 CG32809-PJ 
ENSEBLP00000027113.1	 CG33158-PB 
ENSEBLP00000027136.1	 Edg78E-PB 
ENSEBLP00000027176.1	 Coq4-PC 
ENSEBLP00000027188.1	 Coq4-PC 
ENSEBLP00000027194.1	 Coq4-PC 
ENSEBLP00000027210.1	 CG6465-PA 
ENSEBLP00000027240.1	 f-PF 
ENSEBLP00000027254.1	 f-PI 
ENSEBLP00000027283.1	 Ctl1-PA 
ENSEBLP00000027328.1	 CG32579-PC 
ENSEBLP00000027338.1	 CG32579-PA 
ENSEBLP00000027345.1	 CG32579-PA 
ENSEBLP00000027353.1	 CG32579-PA 
ENSEBLP00000027361.1	 CG32579-PC 
ENSEBLP00000027381.1	 Use1-PA 
ENSEBLP00000027428.1	 Shab-PK 
ENSEBLP00000027438.1	 Shab-PN 
ENSEBLP00000027445.1	 Shab-PN 
ENSEBLP00000027454.1	 Shab-PJ 
ENSEBLP00000027534.1	 foi-PD 
ENSEBLP00000027542.1	 foi-PD 
ENSEBLP00000027547.1	 foi-PD 
ENSEBLP00000027558.1	 foi-PD 
ENSEBLP00000027570.1	 foi-PD 
ENSEBLP00000027575.1	 foi-PD 
ENSEBLP00000027584.1	 foi-PD 
ENSEBLP00000027600.1	 foi-PD 
ENSEBLP00000027623.1	 CG32809-PJ 
ENSEBLP00000027646.1	 shakB-PD 
ENSEBLP00000027667.1	 app-PR 
ENSEBLP00000027690.1	  
ENSEBLP00000022154.1	 brwl-PB 
ENSEBLP00000022157.1	 Tom7-PB 
ENSEBLP00000022162.1	 Drep4-PA 
ENSEBLP00000022165.1	 Drep4-PA 
ENSEBLP00000022167.1	 p24-1-PB 
ENSEBLP00000022169.1	 Srp14-PB 
ENSEBLP00000022171.1	  
ENSEBLP00000022172.1	 p24-1-PB 
ENSEBLP00000022175.1	 CG31549-PB 
ENSEBLP00000022179.1	  
ENSEBLP00000022181.1	 TyrRII-PD 
ENSEBLP00000022182.1	 CG7031-PC 
ENSEBLP00000022184.1	 TyrRII-PD 
ENSEBLP00000022187.1	 TyrRII-PD 
ENSEBLP00000022189.1	 TyrRII-PD 
ENSEBLP00000022190.1	 TyrRII-PD 
ENSEBLP00000022194.1	 Ask1-PC 
ENSEBLP00000022195.1	 CG13856-PA 
ENSEBLP00000022198.1	 Ask1-PC 
ENSEBLP00000022199.1	 CG33116-PA 
ENSEBLP00000022200.1	 Ask1-PC 
ENSEBLP00000022202.1	 Ask1-PC 
ENSEBLP00000022204.1	 Ccp84Ad-PA 
ENSEBLP00000022206.1	 Fdh-PA 
ENSEBLP00000022210.1	 U2af38-PB 
ENSEBLP00000022211.1	 Tsc1-PA 
ENSEBLP00000022213.1	 Tsc1-PA 
ENSEBLP00000022214.1	 CG17919-PA 
ENSEBLP00000022216.1	 Ir68b-PA 
ENSEBLP00000022220.1	 CG32939-PA 
ENSEBLP00000022224.1	 CG32939-PA 
ENSEBLP00000022225.1	 SPARC-PB 
ENSEBLP00000022229.1	  
ENSEBLP00000022231.1	 CG14642-PC 
ENSEBLP00000022232.1	  
ENSEBLP00000022238.1	 l(3)07882-PB 
ENSEBLP00000022240.1	 l(3)07882-PB 
ENSEBLP00000022241.1	 CG2747-PF 
ENSEBLP00000022245.1	  
ENSEBLP00000022246.1	 CG2747-PC 
ENSEBLP00000022248.1	 CG2747-PF 
ENSEBLP00000022249.1	 Kr-h1-PA 
ENSEBLP00000022252.1	  
ENSEBLP00000022254.1	 CG18766-PC 
ENSEBLP00000022256.1	 wntD-PA 
ENSEBLP00000022255.1	 CG18766-PC 
ENSEBLP00000022257.1	 CG18766-PC 
ENSEBLP00000022264.1	 CG17698-PF 
ENSEBLP00000022265.1	 CG17698-PD 
ENSEBLP00000022266.1	 Gel-PK 
ENSEBLP00000022267.1	 CG17698-PD 
ENSEBLP00000022269.1	 Gel-PJ 
ENSEBLP00000022271.1	 raw-PC 
ENSEBLP00000022272.1	 CG17698-PD 
ENSEBLP00000022274.1	 CG17698-PD 
ENSEBLP00000022275.1	 Gel-PJ 
ENSEBLP00000022277.1	 raw-PC 
ENSEBLP00000022278.1	 CG17698-PD 
ENSEBLP00000022280.1	 raw-PB 
ENSEBLP00000022282.1	 CG31269-PB 
ENSEBLP00000022284.1	 TwdlT-PA 
ENSEBLP00000022285.1	 raw-PC 
ENSEBLP00000022287.1	 CG4733-PD 
ENSEBLP00000022288.1	 Jon65Aiii-PA 
ENSEBLP00000022286.1	 Mdh2-PA 
ENSEBLP00000022292.1	  
ENSEBLP00000022293.1	 CG3841-PB 
ENSEBLP00000022294.1	  
ENSEBLP00000022297.1	  
ENSEBLP00000022300.1	  
ENSEBLP00000022298.1	 Aatf-PA 
ENSEBLP00000022299.1	 Prp39-PH 
ENSEBLP00000022301.1	 spel1-PD 
ENSEBLP00000022302.1	 mRRF2-PA 
ENSEBLP00000022303.1	 Prp39-PB 
ENSEBLP00000022304.1	 Aatf-PA 
ENSEBLP00000022305.1	 mRRF2-PA 
ENSEBLP00000022306.1	 spel1-PD 
ENSEBLP00000022307.1	 CG14879-PB 
ENSEBLP00000022309.1	 mAChR-C-PA 
ENSEBLP00000022312.1	 Osi10a-PA 
ENSEBLP00000022313.1	 Epp-PC 
ENSEBLP00000022314.1	 Nep6-PB 
ENSEBLP00000022316.1	 grass-PA 
ENSEBLP00000022317.1	 Epp-PE 
ENSEBLP00000022319.1	 Duox-PC 
ENSEBLP00000022320.1	 CG5909-PA 
ENSEBLP00000022321.1	  
ENSEBLP00000022322.1	 Fur1-PH 
ENSEBLP00000022324.1	 Epp-PD 
ENSEBLP00000022325.1	 Col4a1-PA 
ENSEBLP00000022326.1	 Duox-PC 
ENSEBLP00000022329.1	 CG42342-PH 
ENSEBLP00000022330.1	 Ccp84Af-PA 
ENSEBLP00000022332.1	 r2d2-PC 
ENSEBLP00000022331.1	  
ENSEBLP00000022334.1	 gfzf-PD 
ENSEBLP00000022335.1	 Ance-4-PB 
ENSEBLP00000022337.1	  
ENSEBLP00000022338.1	 CG5715-PA 
ENSEBLP00000022339.1	 nau-PA 
ENSEBLP00000022340.1	 loqs-PB 
ENSEBLP00000022341.1	 CG5715-PA 
ENSEBLP00000022342.1	 CG9471-PB 
ENSEBLP00000022344.1	 loqs-PB 
ENSEBLP00000022346.1	 CG8778-PA 
ENSEBLP00000022347.1	 loqs-PD 
ENSEBLP00000022348.1	 cpx-PK 
ENSEBLP00000022349.1	 loqs-PB 
ENSEBLP00000022350.1	 loqs-PA 
ENSEBLP00000022351.1	 cpx-PL 
ENSEBLP00000022352.1	 sqz-PA 
ENSEBLP00000022353.1	 DIP-eta-PB 
ENSEBLP00000022355.1	 CG34354-PD 
ENSEBLP00000022356.1	 sqz-PA 
ENSEBLP00000022359.1	 Naxe-PB 
ENSEBLP00000022360.1	 DIP-eta-PB 
ENSEBLP00000022361.1	  
ENSEBLP00000022362.1	 sqz-PA 
ENSEBLP00000022364.1	 CG34354-PD 
ENSEBLP00000022366.1	 DIP-eta-PB 
ENSEBLP00000022367.1	 Klp31E-PE 
ENSEBLP00000022369.1	 CG17571-PB 
ENSEBLP00000022371.1	 Klp31E-PE 
ENSEBLP00000022374.1	 CG7720-PF 
ENSEBLP00000022373.1	 DIP-eta-PB 
ENSEBLP00000022377.1	 CG5071-PD 
ENSEBLP00000022378.1	 Klp31E-PE 
ENSEBLP00000022379.1	 CG5071-PD 
ENSEBLP00000022380.1	 Mf-PP 
ENSEBLP00000022381.1	 Kpc1-PB 
ENSEBLP00000022382.1	 slou-PA 
ENSEBLP00000022384.1	 CG5071-PD 
ENSEBLP00000022385.1	 Mf-PO 
ENSEBLP00000022386.1	 slou-PA 
ENSEBLP00000022387.1	 Kpc1-PB 
ENSEBLP00000022388.1	 CG13667-PB 
ENSEBLP00000022389.1	 CG7720-PF 
ENSEBLP00000022390.1	 Mf-PB 
ENSEBLP00000022391.1	 CG15522-PB 
ENSEBLP00000022393.1	 CG13667-PB 
ENSEBLP00000022394.1	 NSD-PA 
ENSEBLP00000022395.1	 Kpc1-PB 
ENSEBLP00000022396.1	 Mf-PB 
ENSEBLP00000022397.1	 CG9107-PB 
ENSEBLP00000022399.1	 NSD-PA 
ENSEBLP00000022401.1	  
ENSEBLP00000022402.1	 Kpc1-PB 
ENSEBLP00000022403.1	 Or85b-PA 
ENSEBLP00000022405.1	 Or85b-PA 
ENSEBLP00000022406.1	 CG9426-PA 
ENSEBLP00000022407.1	 tos-PA 
ENSEBLP00000022409.1	 Kaz-m1-PB 
ENSEBLP00000022411.1	 Kpc1-PB 
ENSEBLP00000022412.1	 Tusp-PE 
ENSEBLP00000022413.1	 Kat60-PB 
ENSEBLP00000022415.1	 pre-mod(mdg4)-I-PB 
ENSEBLP00000022416.1	 Tusp-PE 
ENSEBLP00000022417.1	 Kaz-m1-PB 
ENSEBLP00000022419.1	 Kat60-PA 
ENSEBLP00000022420.1	 Ccp84Af-PA 
ENSEBLP00000022421.1	  
ENSEBLP00000022422.1	 nvd-PA 
ENSEBLP00000022424.1	 Polr2A-PA 
ENSEBLP00000022426.1	 CG15529-PB 
ENSEBLP00000022427.1	 nvd-PA 
ENSEBLP00000022429.1	 Jhbp2-PD 
ENSEBLP00000022430.1	 Polr2A-PA 
ENSEBLP00000022431.1	 yellow-d-PA 
ENSEBLP00000022433.1	 Jhbp2-PD 
ENSEBLP00000022434.1	 nvd-PA 
ENSEBLP00000022436.1	  
ENSEBLP00000022437.1	 CG9427-PA 
ENSEBLP00000022438.1	  
ENSEBLP00000022439.1	 CG9427-PB 
ENSEBLP00000022440.1	 osa-PF 
ENSEBLP00000022443.1	 Ir31a-PC 
ENSEBLP00000022444.1	 Rsph4a-PA 
ENSEBLP00000022445.1	 LysP-PA 
ENSEBLP00000022447.1	 osa-PF 
ENSEBLP00000022448.1	 Alg13-PA 
ENSEBLP00000022449.1	 CG8369-PE 
ENSEBLP00000022450.1	 LysP-PA 
ENSEBLP00000022453.1	 Nmnat-PD 
ENSEBLP00000022452.1	 osa-PB 
ENSEBLP00000022454.1	 Gr93a-PA 
ENSEBLP00000022455.1	 beta4GalT7-PA 
ENSEBLP00000022457.1	 Nmnat-PC 
ENSEBLP00000022458.1	  
ENSEBLP00000022460.1	  
ENSEBLP00000022461.1	 Nmnat-PC 
ENSEBLP00000022462.1	 CG9294-PB 
ENSEBLP00000022463.1	 Sdic1-PC 
ENSEBLP00000022465.1	 CG9294-PB 
ENSEBLP00000022466.1	 PGRP-SC2-PA 
ENSEBLP00000022468.1	 Rab14-PD 
ENSEBLP00000022469.1	  
ENSEBLP00000022470.1	 Nmnat-PD 
ENSEBLP00000022472.1	  
ENSEBLP00000022475.1	 Mst98Ca-PA 
ENSEBLP00000022473.1	 CenG1A-PB 
ENSEBLP00000022476.1	 Rab14-PD 
ENSEBLP00000022477.1	 Gr93a-PA 
ENSEBLP00000022479.1	 spo-PC 
ENSEBLP00000022481.1	 Rab14-PD 
ENSEBLP00000022482.1	 Rab14-PD 
ENSEBLP00000022483.1	 CG6425-PA 
ENSEBLP00000022485.1	 CG18048-PA 
ENSEBLP00000022486.1	 Kaz-m1-PB 
ENSEBLP00000022487.1	 CG6425-PA 
ENSEBLP00000022488.1	 CG18048-PA 
ENSEBLP00000022489.1	 CG7695-PA 
ENSEBLP00000022490.1	 msb1l-PA 
ENSEBLP00000022492.1	 CG9222-PA 
ENSEBLP00000022493.1	  
ENSEBLP00000022494.1	 msb1l-PA 
ENSEBLP00000022496.1	 CG9222-PA 
ENSEBLP00000022497.1	 tin-PA 
ENSEBLP00000022498.1	  
ENSEBLP00000022499.1	 Obp99c-PA 
ENSEBLP00000022501.1	 Ugt37C2-PB 
ENSEBLP00000022502.1	 CG9222-PA 
ENSEBLP00000022503.1	 tin-PA 
ENSEBLP00000022504.1	 Rai1-PA 
ENSEBLP00000022505.1	 heca-PC 
ENSEBLP00000022506.1	 Tsp29Fa-PC 
ENSEBLP00000022508.1	 heca-PC 
ENSEBLP00000022509.1	  
ENSEBLP00000022510.1	 CG9775-PE 
ENSEBLP00000022512.1	 Tsp29Fa-PC 
ENSEBLP00000022511.1	 heca-PC 
ENSEBLP00000022513.1	 CG10126-PA 
ENSEBLP00000022514.1	 Or82a-PA 
ENSEBLP00000022515.1	 Glut4EF-PE 
ENSEBLP00000022519.1	 Tsp29Fb-PC 
ENSEBLP00000022520.1	 Glut4EF-PE 
ENSEBLP00000022521.1	 CG10126-PA 
ENSEBLP00000022522.1	 TTLL15-PA 
ENSEBLP00000022524.1	 ftz-PA 
ENSEBLP00000022525.1	 CG10126-PA 
ENSEBLP00000022528.1	 TTLL15-PA 
ENSEBLP00000022529.1	 hmw-PA 
ENSEBLP00000022530.1	 TTLL15-PA 
ENSEBLP00000022531.1	 CG12951-PA 
ENSEBLP00000022533.1	 hmw-PA 
ENSEBLP00000022535.1	 Marf1-PC 
ENSEBLP00000022536.1	 CG46280-PB 
ENSEBLP00000022537.1	 CG2519-PC 
ENSEBLP00000022538.1	 Tpi-PC 
ENSEBLP00000022540.1	 hmw-PA 
ENSEBLP00000022542.1	 Marf1-PE 
ENSEBLP00000022543.1	 CG8500-PB 
ENSEBLP00000022544.1	 Tpi-PC 
ENSEBLP00000022545.1	  
ENSEBLP00000022546.1	 Marf1-PE 
ENSEBLP00000022547.1	 CG2519-PA 
ENSEBLP00000022548.1	  
ENSEBLP00000022549.1	  
ENSEBLP00000022550.1	 side-II-PC 
ENSEBLP00000022552.1	 CG8500-PB 
ENSEBLP00000022553.1	 CG2519-PC 
ENSEBLP00000022555.1	 CG8500-PB 
ENSEBLP00000022557.1	 side-II-PC 
ENSEBLP00000022558.1	 Ect3-PA 
ENSEBLP00000022559.1	 spirit-PD 
ENSEBLP00000022560.1	 Gprk2-PB 
ENSEBLP00000022561.1	 CG1213-PD 
ENSEBLP00000022562.1	 side-II-PC 
ENSEBLP00000022563.1	 fbp-PD 
ENSEBLP00000022564.1	 Ect3-PA 
ENSEBLP00000022566.1	 CG7381-PE 
ENSEBLP00000022568.1	 fbp-PF 
ENSEBLP00000022569.1	 sp3-PD 
ENSEBLP00000022570.1	 CG7381-PE 
ENSEBLP00000022571.1	 Ect3-PA 
ENSEBLP00000022573.1	 fbp-PF 
ENSEBLP00000022575.1	 Ir31a-PC 
ENSEBLP00000022576.1	 CG7691-PA 
ENSEBLP00000022577.1	 sp3-PD 
ENSEBLP00000022578.1	 CG14301-PB 
ENSEBLP00000022580.1	 sw-PI 
ENSEBLP00000022579.1	 fbp-PF 
ENSEBLP00000022582.1	 Scr-PB 
ENSEBLP00000022583.1	 CG14301-PB 
ENSEBLP00000022585.1	  
ENSEBLP00000022588.1	 PpD3-PC 
ENSEBLP00000022589.1	 UQCR-11-PD 
ENSEBLP00000022590.1	 Mcm3-PA 
ENSEBLP00000022591.1	 SdicB-PA 
ENSEBLP00000022592.1	 tnc-PD 
ENSEBLP00000022593.1	 CG14257-PB 
ENSEBLP00000022595.1	  
ENSEBLP00000022597.1	  
ENSEBLP00000022598.1	  
ENSEBLP00000022599.1	 tnc-PD 
ENSEBLP00000022600.1	 MED21-PA 
ENSEBLP00000022601.1	 CG14257-PC 
ENSEBLP00000022602.1	 tnc-PD 
ENSEBLP00000022603.1	 red-PE 
ENSEBLP00000022604.1	  
ENSEBLP00000022605.1	  
ENSEBLP00000022606.1	 red-PG 
ENSEBLP00000022607.1	 jub-PD 
ENSEBLP00000022608.1	 CG31156-PA 
ENSEBLP00000022609.1	 CG13654-PC 
ENSEBLP00000022610.1	 sick-PE 
ENSEBLP00000022611.1	 CG1213-PD 
ENSEBLP00000022612.1	 CG7203-PC 
ENSEBLP00000022614.1	 CG31156-PA 
ENSEBLP00000022615.1	 sick-PE 
ENSEBLP00000022616.1	 CG13654-PA 
ENSEBLP00000022619.1	 dysf-PB 
ENSEBLP00000022620.1	 CG1213-PD 
ENSEBLP00000022621.1	 sick-PE 
ENSEBLP00000022622.1	 eIF4B-PE 
ENSEBLP00000022623.1	 CG31156-PA 
ENSEBLP00000022624.1	 Mms19-PB 
ENSEBLP00000022626.1	 CG1208-PB 
ENSEBLP00000022627.1	 sick-PE 
ENSEBLP00000022628.1	 dysf-PD 
ENSEBLP00000022629.1	 eIF4B-PB 
ENSEBLP00000022631.1	 sage-PC 
ENSEBLP00000022633.1	 CG8773-PB 
ENSEBLP00000022634.1	 CG1208-PC 
ENSEBLP00000022635.1	 dysf-PD 
ENSEBLP00000022636.1	 sick-PE 
ENSEBLP00000022637.1	 Mms19-PB 
ENSEBLP00000022638.1	 sac-PB 
ENSEBLP00000022639.1	 Osi22-PA 
ENSEBLP00000022640.1	  
ENSEBLP00000022641.1	 CG1208-PB 
ENSEBLP00000022643.1	 sick-PK 
ENSEBLP00000022644.1	 CG8773-PB 
ENSEBLP00000022645.1	 Pdhb-PD 
ENSEBLP00000022647.1	 Trmt61-PB 
ENSEBLP00000022648.1	 ZnT86D-PA 
ENSEBLP00000022649.1	 sick-PJ 
ENSEBLP00000022650.1	 CG42233-PB 
ENSEBLP00000022651.1	 Cisd2-PA 
ENSEBLP00000022652.1	  
ENSEBLP00000022653.1	 Trmt61-PB 
ENSEBLP00000022655.1	  
ENSEBLP00000022654.1	 sick-PD 
ENSEBLP00000022657.1	 PTPMT1-PB 
ENSEBLP00000022659.1	 Lnk-PE 
ENSEBLP00000022661.1	 sick-PJ 
ENSEBLP00000022662.1	  
ENSEBLP00000022663.1	 Set-PA 
ENSEBLP00000022664.1	  
ENSEBLP00000022665.1	 Lnk-PE 
ENSEBLP00000022666.1	 CG10345-PA 
ENSEBLP00000022667.1	  
ENSEBLP00000022669.1	 sick-PJ 
ENSEBLP00000022671.1	  
ENSEBLP00000022672.1	 CG10345-PA 
ENSEBLP00000022673.1	 sick-PH 
ENSEBLP00000022674.1	 TTLL5-PB 
ENSEBLP00000022675.1	 TkR86C-PA 
ENSEBLP00000022676.1	  
ENSEBLP00000022677.1	 CG15533-PA 
ENSEBLP00000022679.1	 P58IPK-PA 
ENSEBLP00000022680.1	 CG10345-PA 
ENSEBLP00000022681.1	 TTLL5-PB 
ENSEBLP00000022682.1	 Rrp1-PA 
ENSEBLP00000022683.1	 CG15533-PA 
ENSEBLP00000022684.1	 bumpel-PA 
ENSEBLP00000022686.1	 CG31156-PA 
ENSEBLP00000022687.1	 TTLL5-PB 
ENSEBLP00000022689.1	 pre-mod(mdg4)-P-PB 
ENSEBLP00000022690.1	 CG15533-PA 
ENSEBLP00000022691.1	 bumpel-PA 
